;Tweet;sentimen;step01;tokens;final_tokens;step02
46;Vidi Aldiano dan Isyana Sarasvati Alami Kejadian Horor Saat Nginap di Bali #VidiAldiano #IsyanaSarasvati… https://t.co/J6MZPNQ8Ee;0;vidi aldiano dan isyana sarasvati alami kejadian horor saat nginap di bali hashtag vidi aldiano hashtag hashtag isyana sarasvati hashtag coj6mzpnq8ee;['vidi', 'aldiano', 'dan', 'isyana', 'sarasvati', 'alami', 'kejadian', 'horor', 'saat', 'nginap', 'di', 'bali', 'hashtag', 'vidi', 'aldiano', 'hashtag', 'hashtag', 'isyana', 'sarasvati', 'hashtag', 'coj6mzpnq8ee'];['vidi', 'aldiano', 'dan', 'isyana', 'sarasvati', 'alami', 'kejadian', 'horor', 'saat', 'nginap', 'di', 'bali', 'hashtag', 'vidi', 'aldiano', 'hashtag', 'hashtag', 'isyana', 'sarasvati', 'hashtag', 'coj6mzpnq8ee'];vidi aldiano dan isyana sarasvati alami kejadian horor saat nginap di bali hashtag vidi aldiano hashtag hashtag isyana sarasvati hashtag coj6mzpnq8ee
47;@isyanasarasvati Wow keren bngt ini epic beda dari pda lainnya kak isyana 😍;1;user wow keren bngt ini epic beda dari pda lainnya kak isyana;['user', 'wow', 'keren', 'bngt', 'ini', 'epic', 'beda', 'dari', 'pda', 'lainnya', 'kak', 'isyana'];['user', 'wow', 'keren', 'bngt', 'ini', 'epic', 'beda', 'dari', 'pda', 'lainnya', 'kak', 'isyana'];user wow keren bngt ini epic beda dari pda lainnya kak isyana
48;@neddbula @isyanasarasvati mantep ni ada efek rumah kaca;0;user user mantep ni ada efek rumah kaca;['user', 'user', 'mantep', 'ni', 'ada', 'efek', 'rumah', 'kaca'];['user', 'user', 'bagus', 'ini', 'ada', 'efek', 'rumah', 'kaca'];user user bagus ini ada efek rumah kaca
49;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
50;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
51;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
52;"RT @BybitIndonesia: 🔥 Koleksi NFT spesial dari @hmxnft dan musisi terbaik Indonesia @isyanasarasvati segera hadir di Bybit!

😍 Hanya 0,055…";0;rt user koleksi nft spesial dari user dan musisi terbaik indonesia user segera hadir di bybit hanya number;['rt', 'user', 'koleksi', 'nft', 'spesial', 'dari', 'user', 'dan', 'musisi', 'terbaik', 'indonesia', 'user', 'segera', 'hadir', 'di', 'bybit', 'hanya', 'number'];['rt', 'user', 'koleksi', 'nft', 'spesial', 'dari', 'user', 'dan', 'musisi', 'terbaik', 'indonesia', 'user', 'segera', 'hadir', 'di', 'bybit', 'hanya', 'number'];rt user koleksi nft spesial dari user dan musisi terbaik indonesia user segera hadir di bybit hanya number
53;"🔥 Koleksi NFT spesial dari @hmxnft dan musisi terbaik Indonesia @isyanasarasvati segera hadir di Bybit!

😍 Hanya 0,… https://t.co/1zsqBBdEvu";0;koleksi nft spesial dari user dan musisi terbaik indonesia user segera hadir di bybit hanya number co1zsqbbdevu;['koleksi', 'nft', 'spesial', 'dari', 'user', 'dan', 'musisi', 'terbaik', 'indonesia', 'user', 'segera', 'hadir', 'di', 'bybit', 'hanya', 'number', 'co1zsqbbdevu'];['koleksi', 'nft', 'spesial', 'dari', 'user', 'dan', 'musisi', 'terbaik', 'indonesia', 'user', 'segera', 'hadir', 'di', 'bybit', 'hanya', 'number', 'co1zsqbbdevu'];koleksi nft spesial dari user dan musisi terbaik indonesia user segera hadir di bybit hanya number co1zsqbbdevu
54;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
55;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
56;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
57;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
58;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
59;@isyanasarasvati sumpah keren bngt kak nftnya, yang pake kacamata kece;0;user sumpah keren bngt kak nftnya yang pake kacamata kece;['user', 'sumpah', 'keren', 'bngt', 'kak', 'nftnya', 'yang', 'pake', 'kacamata', 'kece'];['user', 'sumpah', 'keren', 'bngt', 'kak', 'nftnya', 'yang', 'pakai', 'kacamata', 'kece'];user sumpah keren bngt kak nftnya yang pakai kacamata kece
60;"RT @isyanasarasvati: Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰

https://t.co/p1OP6ktbe6…";1;rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6;['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];['rt', 'user', 'yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cop1op6ktbe6'];rt user yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cop1op6ktbe6
61;Yukk ngobrol lagi! Hari ini aku akan live dengan PINTU di Youtube jam 17:00, seee you guys 🥰… https://t.co/pHUjqtKlTg;1;yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cophujqtkltg;['yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cophujqtkltg'];['yukk', 'ngobrol', 'lagi', 'hari', 'ini', 'aku', 'akan', 'live', 'dengan', 'pintu', 'di', 'youtube', 'jam', 'time', 'seee', 'you', 'guys', 'cophujqtkltg'];yukk ngobrol lagi hari ini aku akan live dengan pintu di youtube jam time seee you guys cophujqtkltg
62;@isyanasarasvati maen2 sinilah https://t.co/KVO6niDIwL;0;user maen2 sinilah cokvo6nidiwl;['user', 'maen2', 'sinilah', 'cokvo6nidiwl'];['user', 'maen2', 'sinilah', 'cokvo6nidiwl'];user maen2 sinilah cokvo6nidiwl
63;@Ikmal_s_l @henry_e_s @XionTydza Ngarep dapet WL si @isyanasarasvati akuh om 😁;0;user user user ngarep dapet wl si user akuh om;['user', 'user', 'user', 'ngarep', 'dapet', 'wl', 'si', 'user', 'akuh', 'om'];['user', 'user', 'user', 'ngarep', 'mendapat', 'wl', 'sih', 'user', 'akuh', 'om'];user user user ngarep mendapat wl sih user akuh om
64;@omponxxx @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Ke depak berapa um skrg? Tak ada di rank 10 nama mu;-1;user user user user user ke depak berapa um skrg tak ada di rank number nama mu;['user', 'user', 'user', 'user', 'user', 'ke', 'depak', 'berapa', 'um', 'skrg', 'tak', 'ada', 'di', 'rank', 'number', 'nama', 'mu'];['user', 'user', 'user', 'user', 'user', 'ke', 'depak', 'berapa', 'um', 'sekarang', 'tak', 'ada', 'di', 'rank', 'number', 'nama', 'mu'];user user user user user ke depak berapa um sekarang tak ada di rank number nama mu
65;@lailatulllll @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Nantilah klo event perdukunan udah kelar 😂;0;user user user user user nantilah klo event perdukunan udah kelar;['user', 'user', 'user', 'user', 'user', 'nantilah', 'klo', 'event', 'perdukunan', 'udah', 'kelar'];['user', 'user', 'user', 'user', 'user', 'nantilah', 'kalau', 'event', 'perdukunan', 'sudah', 'selesai'];user user user user user nantilah kalau event perdukunan sudah selesai
66;"@omponxxx @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Guriihh um.
Dirimu kapan balik ke DC🧐";0;user user user user user guriihh um dirimu kapan balik ke dc;['user', 'user', 'user', 'user', 'user', 'guriihh', 'um', 'dirimu', 'kapan', 'balik', 'ke', 'dc'];['user', 'user', 'user', 'user', 'user', 'guriihh', 'um', 'dirimu', 'kapan', 'balik', 'ke', 'dc'];user user user user user guriihh um dirimu kapan balik ke dc
67;@omponxxx @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Udh um. Dapet juga ga?;0;user user user user user udh um dapet juga ga;['user', 'user', 'user', 'user', 'user', 'udh', 'um', 'dapet', 'juga', 'ga'];['user', 'user', 'user', 'user', 'user', 'sudah', 'um', 'mendapat', 'juga', 'tidak'];user user user user user sudah um mendapat juga tidak
68;@lailatulllll @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Okse udah dijual semuanya om?;0;user user user user user okse udah dijual semuanya om;['user', 'user', 'user', 'user', 'user', 'okse', 'udah', 'dijual', 'semuanya', 'om'];['user', 'user', 'user', 'user', 'user', 'okse', 'sudah', 'dijual', 'semuanya', 'om'];user user user user user okse sudah dijual semuanya om
69;"@xeexoxeeeeeee @isyanasarasvati Iyee.. tadi uda mau kaget, mau selebrasi.. 
Eh tertanyaaaaa 😭😭";0;user user iyee tadi uda mau kaget mau selebrasi eh tertanyaaaaa;['user', 'user', 'iyee', 'tadi', 'uda', 'mau', 'kaget', 'mau', 'selebrasi', 'eh', 'tertanyaaaaa'];['user', 'user', 'iyee', 'tadi', 'sudah', 'mau', 'kaget', 'mau', 'selebrasi', 'eh', 'tertanyaaaaa'];user user iyee tadi sudah mau kaget mau selebrasi eh tertanyaaaaa
70;@LittleCaib @isyanasarasvati Dupe nya wkwkwk;0;user user dupe nya wkwkwk;['user', 'user', 'dupe', 'nya', 'wkwkwk'];['user', 'user', 'dupe', 'nya', 'wkwkwk'];user user dupe nya wkwkwk
71;"@xeexoxeeeeeee @isyanasarasvati Wooy.. beneran di baca sama isyana!!
 tapi ga Sarasvati 😭
https://t.co/l6QKSf6X5G";0;user user wooy beneran di baca sama isyana tapi ga sarasvati col6qksf6x5g;['user', 'user', 'wooy', 'beneran', 'di', 'baca', 'sama', 'isyana', 'tapi', 'ga', 'sarasvati', 'col6qksf6x5g'];['user', 'user', 'wooy', 'serius', 'di', 'baca', 'sama', 'isyana', 'tapi', 'tidak', 'sarasvati', 'col6qksf6x5g'];user user wooy serius di baca sama isyana tapi tidak sarasvati col6qksf6x5g
72;"RT @DealovaAbimanyu: Ini sumpah keren banget.... 
@daratista_inul @isyanasarasvati @DEADSQUAD_Band 
#Inul #Isyana #DeadSquad #incollaborati…";0;rt user ini sumpah keren banget user user user hashtag inul hashtag hashtag isyana hashtag hashtag dead squad hashtag hashtag in collaborati hashtag;['rt', 'user', 'ini', 'sumpah', 'keren', 'banget', 'user', 'user', 'user', 'hashtag', 'inul', 'hashtag', 'hashtag', 'isyana', 'hashtag', 'hashtag', 'dead', 'squad', 'hashtag', 'hashtag', 'in', 'collaborati', 'hashtag'];['rt', 'user', 'ini', 'sumpah', 'keren', 'banget', 'user', 'user', 'user', 'hashtag', 'inul', 'hashtag', 'hashtag', 'isyana', 'hashtag', 'hashtag', 'dead', 'squad', 'hashtag', 'hashtag', 'in', 'collaborati', 'hashtag'];rt user ini sumpah keren banget user user user hashtag inul hashtag hashtag isyana hashtag hashtag dead squad hashtag hashtag in collaborati hashtag
73;@rizkamaliaaaaa @isyanasarasvati Aku mendukung rambutmu kaya mb Isyana;0;user user aku mendukung rambutmu kaya mb isyana;['user', 'user', 'aku', 'mendukung', 'rambutmu', 'kaya', 'mb', 'isyana'];['user', 'user', 'aku', 'mendukung', 'rambutmu', 'kaya', 'mb', 'isyana'];user user aku mendukung rambutmu kaya mb isyana
74;@Bybit_NFT @hmxnft @isyanasarasvati Anjing si cilepeung;0;user user user anjing si cilepeung;['user', 'user', 'user', 'anjing', 'si', 'cilepeung'];['user', 'user', 'user', 'anjing', 'sih', 'cilepeung'];user user user anjing sih cilepeung
75;@milanisem @indosatim3 @isyanasarasvati @BARASUARA @rendypandugo Pembelian Online Bang. Tiketnya elektronik. Kalau… https://t.co/dPDQfxrGp2;0;user user user user user pembelian online bang tiketnya elektronik kalau codpdqfxrgp2;['user', 'user', 'user', 'user', 'user', 'pembelian', 'online', 'bang', 'tiketnya', 'elektronik', 'kalau', 'codpdqfxrgp2'];['user', 'user', 'user', 'user', 'user', 'pembelian', 'online', 'bang', 'tiketnya', 'elektronik', 'kalau', 'codpdqfxrgp2'];user user user user user pembelian online bang tiketnya elektronik kalau codpdqfxrgp2
76;"Tuhaaann… maafkan diri ini, yang tak pernah bisa 

pergi nonton live concert. 

Aku tuh mau banget support musisi2… https://t.co/zxWKFU9hag";1;tuhaaann maafkan diri ini yang tak pernah bisa pergi nonton live concert aku tuh mau banget support musisi2 cozxwkfu9hag;['tuhaaann', 'maafkan', 'diri', 'ini', 'yang', 'tak', 'pernah', 'bisa', 'pergi', 'nonton', 'live', 'concert', 'aku', 'tuh', 'mau', 'banget', 'support', 'musisi2', 'cozxwkfu9hag'];['tuhaaann', 'maafkan', 'diri', 'ini', 'yang', 'tak', 'pernah', 'bisa', 'pergi', 'nonton', 'live', 'concert', 'aku', 'itu', 'mau', 'banget', 'support', 'musisi2', 'cozxwkfu9hag'];tuhaaann maafkan diri ini yang tak pernah bisa pergi nonton live concert aku itu mau banget support musisi2 cozxwkfu9hag
77;"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…";0;rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user;['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user
78;"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…";0;rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user;['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user
79;@sitompulfahmi @lailatulllll @Bybit_NFT @isyanasarasvati @beans57beans Oh tentu tidak 🤣 holy #1;0;user user user user user oh tentu tidak holy number;['user', 'user', 'user', 'user', 'user', 'oh', 'tentu', 'tidak', 'holy', 'number'];['user', 'user', 'user', 'user', 'user', 'oh', 'tentu', 'tidak', 'holy', 'number'];user user user user user oh tentu tidak holy number
80;@omponxxx @lailatulllll @Bybit_NFT @isyanasarasvati @beans57beans Secepat itu kamu melupakan Holy;0;user user user user user secepat itu kamu melupakan holy;['user', 'user', 'user', 'user', 'user', 'secepat', 'itu', 'kamu', 'melupakan', 'holy'];['user', 'user', 'user', 'user', 'user', 'secepat', 'itu', 'kamu', 'melupakan', 'holy'];user user user user user secepat itu kamu melupakan holy
81;RT @nftkompas: Obrolan dalam Twitter Spaces bersama @SuperlativeSS, @AriefWitjaksana, @isyanasarasvati, @helmantaofani , @strpws juga dilip…;0;rt user obrolan dalam twitter spaces bersama user user user user user juga dilip;['rt', 'user', 'obrolan', 'dalam', 'twitter', 'spaces', 'bersama', 'user', 'user', 'user', 'user', 'user', 'juga', 'dilip'];['rt', 'user', 'obrolan', 'dalam', 'twitter', 'spaces', 'bersama', 'user', 'user', 'user', 'user', 'user', 'juga', 'dilip'];rt user obrolan dalam twitter spaces bersama user user user user user juga dilip
82;RT @nftkompas: Obrolan dalam Twitter Spaces bersama @SuperlativeSS, @AriefWitjaksana, @isyanasarasvati, @helmantaofani , @strpws juga dilip…;0;rt user obrolan dalam twitter spaces bersama user user user user user juga dilip;['rt', 'user', 'obrolan', 'dalam', 'twitter', 'spaces', 'bersama', 'user', 'user', 'user', 'user', 'user', 'juga', 'dilip'];['rt', 'user', 'obrolan', 'dalam', 'twitter', 'spaces', 'bersama', 'user', 'user', 'user', 'user', 'user', 'juga', 'dilip'];rt user obrolan dalam twitter spaces bersama user user user user user juga dilip
83;@omponxxx @Bybit_NFT @isyanasarasvati @sitompulfahmi @beans57beans Bisa req lagu um ke @isyanasarasvati;0;user user user user user bisa req lagu um ke user;['user', 'user', 'user', 'user', 'user', 'bisa', 'req', 'lagu', 'um', 'ke', 'user'];['user', 'user', 'user', 'user', 'user', 'bisa', 'req', 'lagu', 'um', 'ke', 'user'];user user user user user bisa req lagu um ke user
84;"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…";0;rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user;['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user
85;RT @srikumoro: Tulisan ringan soal NFT di @hariankompas hari ini. Nyinggung soal pameran @nftkompas di @SuperlativeSS dan rencana launching…;0;rt user tulisan ringan soal nft di user hari ini nyinggung soal pameran user di user dan rencana launching;['rt', 'user', 'tulisan', 'ringan', 'soal', 'nft', 'di', 'user', 'hari', 'ini', 'nyinggung', 'soal', 'pameran', 'user', 'di', 'user', 'dan', 'rencana', 'launching'];['rt', 'user', 'tulisan', 'ringan', 'soal', 'nft', 'di', 'user', 'hari', 'ini', 'nyinggung', 'soal', 'pameran', 'user', 'di', 'user', 'dan', 'rencana', 'launching'];rt user tulisan ringan soal nft di user hari ini nyinggung soal pameran user di user dan rencana launching
86;RT @nftkompas: Obrolan dalam Twitter Spaces bersama @SuperlativeSS, @AriefWitjaksana, @isyanasarasvati, @helmantaofani , @strpws juga dilip…;0;rt user obrolan dalam twitter spaces bersama user user user user user juga dilip;['rt', 'user', 'obrolan', 'dalam', 'twitter', 'spaces', 'bersama', 'user', 'user', 'user', 'user', 'user', 'juga', 'dilip'];['rt', 'user', 'obrolan', 'dalam', 'twitter', 'spaces', 'bersama', 'user', 'user', 'user', 'user', 'user', 'juga', 'dilip'];rt user obrolan dalam twitter spaces bersama user user user user user juga dilip
87;Obrolan dalam Twitter Spaces bersama @SuperlativeSS, @AriefWitjaksana, @isyanasarasvati, @helmantaofani , @strpws j… https://t.co/naGyx6Vklc;0;obrolan dalam twitter spaces bersama user user user user user conagyx6vklc;['obrolan', 'dalam', 'twitter', 'spaces', 'bersama', 'user', 'user', 'user', 'user', 'user', 'conagyx6vklc'];['obrolan', 'dalam', 'twitter', 'spaces', 'bersama', 'user', 'user', 'user', 'user', 'user', 'conagyx6vklc'];obrolan dalam twitter spaces bersama user user user user user conagyx6vklc
88;Tulisan ringan soal NFT di @hariankompas hari ini. Nyinggung soal pameran @nftkompas di @SuperlativeSS dan rencana… https://t.co/2s2XJUHB3W;0;tulisan ringan soal nft di user hari ini nyinggung soal pameran user di user dan rencana co2s2xjuhb3w;['tulisan', 'ringan', 'soal', 'nft', 'di', 'user', 'hari', 'ini', 'nyinggung', 'soal', 'pameran', 'user', 'di', 'user', 'dan', 'rencana', 'co2s2xjuhb3w'];['tulisan', 'ringan', 'soal', 'nft', 'di', 'user', 'hari', 'ini', 'nyinggung', 'soal', 'pameran', 'user', 'di', 'user', 'dan', 'rencana', 'co2s2xjuhb3w'];tulisan ringan soal nft di user hari ini nyinggung soal pameran user di user dan rencana co2s2xjuhb3w
89;"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…";0;rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user;['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user
